arquivo,caption
img_001.png,"estilo_azulejaria, portuguese ceramic tile pattern, blue and white glazed azulejos, floral ornament, symmetrical decorative design"
img_002.png,"estilo_azulejaria, historical ceramic tile panel, sepia glazed azulejos, figurative scene, traditional portuguese artwork"
img_003.png,"estilo_azulejaria, religious ceramic tile panel, sepia glazed azulejos, sacred scene, traditional portuguese ornament"
img_004.png,"estilo_azulejaria, geometric ceramic tile pattern, blue and white glazed azulejos, circular symmetrical composition"
img_005.png,"estilo_azulejaria, geometric ceramic tile pattern, yellow green and blue glazed azulejos, symmetrical star motif"
img_006.png,"estilo_azulejaria, patchwork ceramic tile mosaic, mixed traditional azulejos, decorative collage composition"
img_007.png,"estilo_azulejaria, patchwork ceramic tile mosaic, blue white and orange glazed azulejos, decorative collage"
img_008.png,"estilo_azulejaria, historical ceramic tile mural, blue and white glazed azulejos, figurative narrative scene"
img_009.png,"estilo_azulejaria, geometric ceramic tile ornament, blue yellow and white glazed azulejos, decorative symmetry"
img_010.png,"estilo_azulejaria, ornamental ceramic tile pattern, black white and gray glazed azulejos, symmetrical design"
img_011.png,"estilo_azulejaria, decorative ceramic tile pattern, light pastel glazed azulejos, ornamental geometric motif"
img_012.png,"estilo_azulejaria, ornamental ceramic tile pattern, black and white glazed azulejos, repetitive decorative motif"
img_013.png,"estilo_azulejaria, geometric ceramic tile pattern, green yellow and white glazed azulejos, symmetrical tessellation"
img_014.png,"estilo_azulejaria, modern geometric ceramic tile pattern, blue and white glazed azulejos, circular modular design"
img_015.png,"estilo_azulejaria, historical ceramic tile mural, blue and white glazed azulejos, narrative scene, traditional portuguese art"
img_016.png,"estilo_azulejaria, landscape ceramic tile mural, blue and white glazed azulejos, tropical scenery"
img_017.png,"estilo_azulejaria, decorative ceramic tile panel, framed azulejo artwork, ornamental border"
img_018.png,"estilo_azulejaria, decorative ceramic tile pattern, blue red and white glazed azulejos, floral ornament"
img_019.png,"estilo_azulejaria, ornamental ceramic tile panel, blue yellow and white glazed azulejos, bird motif"
img_020.png,"estilo_azulejaria, ornamental ceramic tile pattern, terracotta blue and white glazed azulejos, symmetrical design"
img_021.png,"estilo_azulejaria, ornamental ceramic tile pattern, floral arabesque design, cream yellow and brown glazed azulejos"
img_022.png,"estilo_azulejaria, religious ceramic tile mural, blue and white glazed azulejos, angel figure"
img_023.png,"estilo_azulejaria, decorative ceramic tile pattern, blue orange and white glazed azulejos, geometric ornament"
img_024.png,"estilo_azulejaria, antique ceramic tile pattern, faded blue glazed azulejos, symmetrical ornament"
img_025.png,"estilo_azulejaria, decorative ceramic tile pattern, blue yellow and white glazed azulejos, ornamental geometric composition"
img_026.png,"estilo_azulejaria, landscape ceramic tile mural, blue and white glazed azulejos, maritime scene"
img_027.png,"estilo_azulejaria, floral ceramic tile pattern, blue green and white glazed azulejos, decorative flower motif"
img_028.png,"estilo_azulejaria, patchwork ceramic tile collage, collection of traditional portuguese azulejos"
img_029.png,"estilo_azulejaria, decorative ceramic tile pattern, blue and white glazed azulejos, birds and floral motifs"
img_030.png,"estilo_azulejaria, ornamental ceramic tile pattern, blue yellow and white glazed azulejos, radial decorative motif"
img_031.png,"estilo_azulejaria, heraldic ceramic tile panel, blue and white glazed azulejos, coat of arms"
img_032.png,"estilo_azulejaria, historical ceramic tile panel, polychromatic glazed azulejos, traditional figurative artwork"
img_033.png,"estilo_azulejaria, historical ceramic tile mural, polychromatic glazed azulejos, narrative scene"
img_034.png,"estilo_azulejaria, religious ceramic tile panel, blue and yellow glazed azulejos, virgin mary depiction"
img_035.png,"estilo_azulejaria, modern brazilian ceramic tile pattern, blue and white glazed azulejos, Athos Bulcao inspired geometric design"
img_036.png,"estilo_azulejaria, geometric ceramic tile pattern, beige gray and brown glazed azulejos, modern architectural composition"
img_037.png,"estilo_azulejaria, floral ceramic tile pattern, blue and white glazed azulejos, ornamental symmetry"
img_038.png,"estilo_azulejaria, floral ceramic tile pattern, polychromatic glazed azulejos, decorative ornament"
img_039.png,"estilo_azulejaria, ornamental ceramic tile relief, yellow blue and white glazed ceramic decoration"
img_040.png,"estilo_azulejaria, geometric ceramic tile pattern, blue gray and white glazed azulejos, repetitive modular design"
